"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Louth","Financial, insurance and real estate activities (K,L)","Euro","45121"
"Mean Annual Earnings","2011","Co. Louth","Arts, entertainment, recreation and other service activities (R,S)","Euro","23716"
"Mean Annual Earnings","2011","Co. Limerick","All NACE economic sectors","Euro","38156"
"Mean Annual Earnings","2011","Co. Limerick","Construction (F)","Euro","36882"
"Mean Annual Earnings","2011","Co. Limerick","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","28200"
"Mean Annual Earnings","2011","Co. Limerick","Transportation and storage (H)","Euro","39458"
"Mean Annual Earnings","2011","Co. Limerick","Accommodation and food service activities (I)","Euro","19501"
"Mean Annual Earnings","2011","Co. Limerick","Information and communication (J)","Euro","43183"
"Mean Annual Earnings","2011","Co. Limerick","Professional, scientific and technical activities (M)","Euro","41355"
"Mean Annual Earnings","2011","Co. Limerick","Administrative and support service activities (N)","Euro","32728"
"Mean Annual Earnings","2011","Co. Limerick","Public administration and defence; compulsory social security (O)","Euro","47403"
"Mean Annual Earnings","2011","Co. Limerick","Education (P)","Euro","49324"
"Mean Annual Earnings","2011","Co. Limerick","Human health and social work activities (Q)","Euro","36207"
"Mean Annual Earnings","2011","Co. Limerick","Industry (B to E)","Euro","47173"
"Mean Annual Earnings","2011","Co. Limerick","Financial, insurance and real estate activities (K,L)","Euro","45827"
"Mean Annual Earnings","2011","Co. Limerick","Arts, entertainment, recreation and other service activities (R,S)","Euro","23569"
"Mean Annual Earnings","2011","Co. Leitrim","All NACE economic sectors","Euro","34461"
"Mean Annual Earnings","2011","Co. Leitrim","Construction (F)","Euro","32402"
"Mean Annual Earnings","2011","Co. Leitrim","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22100"
"Mean Annual Earnings","2011","Co. Leitrim","Transportation and storage (H)","Euro","32205"
"Mean Annual Earnings","2011","Co. Leitrim","Accommodation and food service activities (I)","Euro","18235"
"Mean Annual Earnings","2011","Co. Leitrim","Information and communication (J)","Euro","41368"
"Mean Annual Earnings","2011","Co. Leitrim","Professional, scientific and technical activities (M)","Euro","29372"
"Mean Annual Earnings","2011","Co. Leitrim","Administrative and support service activities (N)","Euro","25609"
"Mean Annual Earnings","2011","Co. Leitrim","Public administration and defence; compulsory social security (O)","Euro","43889"
"Mean Annual Earnings","2011","Co. Leitrim","Education (P)","Euro","48900"
"Mean Annual Earnings","2011","Co. Leitrim","Human health and social work activities (Q)","Euro","33830"
"Mean Annual Earnings","2011","Co. Leitrim","Industry (B to E)","Euro","37526"
"Mean Annual Earnings","2011","Co. Leitrim","Financial, insurance and real estate activities (K,L)","Euro","39232"
"Mean Annual Earnings","2011","Co. Leitrim","Arts, entertainment, recreation and other service activities (R,S)","Euro","20956"
"Mean Annual Earnings","2011","Co. Laois","All NACE economic sectors","Euro","37253"
"Mean Annual Earnings","2011","Co. Laois","Construction (F)","Euro","33886"
"Mean Annual Earnings","2011","Co. Laois","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26103"
"Mean Annual Earnings","2011","Co. Laois","Transportation and storage (H)","Euro","38496"
"Mean Annual Earnings","2011","Co. Laois","Accommodation and food service activities (I)","Euro","18405"
"Mean Annual Earnings","2011","Co. Laois","Information and communication (J)","Euro","50618"
"Mean Annual Earnings","2011","Co. Laois","Professional, scientific and technical activities (M)","Euro","35064"
"Mean Annual Earnings","2011","Co. Laois","Administrative and support service activities (N)","Euro","27117"
"Mean Annual Earnings","2011","Co. Laois","Public administration and defence; compulsory social security (O)","Euro","49320"
"Mean Annual Earnings","2011","Co. Laois","Education (P)","Euro","47180"
"Mean Annual Earnings","2011","Co. Laois","Human health and social work activities (Q)","Euro","36955"
"Mean Annual Earnings","2011","Co. Laois","Industry (B to E)","Euro","43170"
"Mean Annual Earnings","2011","Co. Laois","Financial, insurance and real estate activities (K,L)","Euro","42049"
"Mean Annual Earnings","2011","Co. Laois","Arts, entertainment, recreation and other service activities (R,S)","Euro","23270"
"Mean Annual Earnings","2011","Co. Meath","All NACE economic sectors","Euro","41083"
"Mean Annual Earnings","2011","Co. Meath","Construction (F)","Euro","38875"
"Mean Annual Earnings","2011","Co. Meath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","31125"
"Mean Annual Earnings","2011","Co. Meath","Transportation and storage (H)","Euro","43817"
"Mean Annual Earnings","2011","Co. Meath","Accommodation and food service activities (I)","Euro","20603"
"Mean Annual Earnings","2011","Co. Meath","Information and communication (J)","Euro","60681"
"Mean Annual Earnings","2011","Co. Meath","Professional, scientific and technical activities (M)","Euro","43585"
"Mean Annual Earnings","2011","Co. Meath","Administrative and support service activities (N)","Euro","33968"
"Mean Annual Earnings","2011","Co. Meath","Public administration and defence; compulsory social security (O)","Euro","50094"
"Mean Annual Earnings","2011","Co. Meath","Education (P)","Euro","48476"
"Mean Annual Earnings","2011","Co. Meath","Human health and social work activities (Q)","Euro","37240"
"Mean Annual Earnings","2011","Co. Meath","Industry (B to E)","Euro","47734"
"Mean Annual Earnings","2011","Co. Meath","Financial, insurance and real estate activities (K,L)","Euro","51849"
"Mean Annual Earnings","2011","Co. Meath","Arts, entertainment, recreation and other service activities (R,S)","Euro","28187"
"Mean Annual Earnings","2011","Co. Monaghan","All NACE economic sectors","Euro","32502"
"Mean Annual Earnings","2011","Co. Monaghan","Construction (F)","Euro","31210"
"Mean Annual Earnings","2011","Co. Monaghan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","22114"
"Mean Annual Earnings","2011","Co. Monaghan","Transportation and storage (H)","Euro","29376"
"Mean Annual Earnings","2011","Co. Monaghan","Accommodation and food service activities (I)","Euro","17835"
"Mean Annual Earnings","2011","Co. Monaghan","Information and communication (J)","Euro","43768"
"Mean Annual Earnings","2011","Co. Monaghan","Professional, scientific and technical activities (M)","Euro","31670"
"Mean Annual Earnings","2011","Co. Monaghan","Administrative and support service activities (N)","Euro","21782"
"Mean Annual Earnings","2011","Co. Monaghan","Public administration and defence; compulsory social security (O)","Euro","45591"
"Mean Annual Earnings","2011","Co. Monaghan","Education (P)","Euro","48850"
"Mean Annual Earnings","2011","Co. Monaghan","Human health and social work activities (Q)","Euro","34313"
"Mean Annual Earnings","2011","Co. Monaghan","Industry (B to E)","Euro","32015"
"Mean Annual Earnings","2011","Co. Monaghan","Financial, insurance and real estate activities (K,L)","Euro","41589"
"Mean Annual Earnings","2011","Co. Monaghan","Arts, entertainment, recreation and other service activities (R,S)","Euro","22349"
"Mean Annual Earnings","2011","Co. Mayo","All NACE economic sectors","Euro","34117"
"Mean Annual Earnings","2011","Co. Mayo","Construction (F)","Euro","34915"
"Mean Annual Earnings","2011","Co. Mayo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23817"
"Mean Annual Earnings","2011","Co. Mayo","Transportation and storage (H)","Euro","34590"
"Mean Annual Earnings","2011","Co. Mayo","Accommodation and food service activities (I)","Euro","18130"
"Mean Annual Earnings","2011","Co. Mayo","Information and communication (J)","Euro","41828"
"Mean Annual Earnings","2011","Co. Mayo","Professional, scientific and technical activities (M)","Euro","36724"
"Mean Annual Earnings","2011","Co. Mayo","Administrative and support service activities (N)","Euro","25239"
"Mean Annual Earnings","2011","Co. Mayo","Public administration and defence; compulsory social security (O)","Euro","42354"
"Mean Annual Earnings","2011","Co. Mayo","Education (P)","Euro","48964"
